MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
369970978,2023-01-01T00:14:56,35.4729,-93.81369,0,162.6,154,DAN REEVES,,AEQC,90,0,,,,10,A
368256040,2023-01-01T00:14:56,29.93166,-90.33137,0,360,511,JACK ESTES,IMO1323487,WDM9802,52,0,21,10,0,52,A
366929330,2023-01-01T00:14:32,34.23998,-77.95235,0.1,249,337,CAPE HATTERAS,IMO8023541,WRZ8934,90,5,41,9,2.8,90,A
367513040,2023-01-01T00:14:59,42.37998,-71.04252,0,230.3,88,LIBERTY,IMO9296121,WDG2187,31,15,28,9,3.3,52,A
323143000,2023-01-01T00:14:34,23.05435,-81.54912,0,350,88,LOURDES,IMO9259692,CLBO,80,1,238,39,12.6,80,A
368027780,2023-01-01T00:14:36,29.11306,-90.19598,0,251,511,MR RIDGE,IMO0001452,WDJ9621,39,0,59,9,2,39,A
368087360,2023-01-01T00:14:37,29.08969,-89.28619,0,360,511,MISS AVA,,WDK7741,52,5,42,15,0,52,A
367493740,2023-01-01T00:14:38,29.90589,-92.54265,5.3,101.1,99,ENDURANCE,IMO9632739,WDF8331,31,12,24,9,,57,A
368067520,2023-01-01T00:14:42,28.69664,-89.396,0,286.1,352,SP_89E,,WRCQ766,3,15,46,41,0,3,A
367388340,2023-01-01T00:15:16,27.8142,-97.40952,0,250.6,345,LAMAR,IMO9585065,WDE7053,31,0,30,12,3.7,52,A
367142830,2023-01-01T00:15:19,29.98045,-90.39523,0.2,295.4,511,ALABAMA,IMO6408981,WCZ9221,31,0,25,7,2.4,52,A
368732000,2023-01-01T00:14:45,27.75833,-82.63009,0,358,268,CG JOSHUA APPLEBY,IMO9177246,NJTH,90,5,53,10,2.4,90,A
338391547,2023-01-01T00:15:19,38.96215,-76.48483,0.7,0,34,DESSERT CART,IMO0000000,,37,,8,3,,,B
367471780,2023-01-01T00:12:48,30.09382,-88.64122,3.1,7,511,PRINCESS KELLY,IMO8969965,WDF6207,30,,26,7,,,B
368161120,2023-01-01T00:15:24,30.01442,-90.82989,0,360,511,BIENVILLE,,WDL7538,50,0,13,4,0,50,A
368187950,2023-01-01T00:15:24,24.56467,-81.73747,0,272.3,511,INDEPENDENCE,IMO0000000,WDM2422,37,,30,8,,,B
366972620,2023-01-01T00:12:54,21.31014,-157.86914,0,325.5,511,MIKIOI,IMO8987723,WDH9684,31,0,23,10,2.4,52,A
316042365,2023-01-01T00:15:25,49.28676,-123.10925,0,240.2,240,BURRARD CHINOOK,IMO9834959,CFA3218,60,0,34,12,3.3,60,A
367663890,2023-01-01T00:13:03,29.31211,-94.80998,0,256.9,12,SEBASTIAN D,,WDH9021,31,12,25,,,31,A
368173340,2023-01-01T00:15:25,30.27724,-81.71332,0,360,511,CELL MATES,IMO0000000,WDL8832,37,,14,5,,,B
219071000,2023-01-01T00:13:06,37.03059,-123.50602,12.3,151.4,149,SANTA URSULA,IMO9430387,OXBD2,71,0,300,43,10.8,71,A
